Latitude,Longitude,Date,Amount
57.145859,-2.101296,21/07/2019,524
57.145859,-2.101296,21/07/2019,404
57.145859,-2.101296,21/07/2019,452
57.145859,-2.101296,21/07/2019,523
57.145859,-2.101296,21/07/2019,435
57.145859,-2.101296,21/07/2019,477
57.145859,-2.101296,21/07/2019,477
57.145859,-2.101296,21/07/2019,524
57.145859,-2.101296,21/07/2019,603
57.145859,-2.101296,21/07/2019,451
57.145859,-2.101296,21/07/2019,559
57.145859,-2.101296,21/07/2019,468
57.145859,-2.101296,21/07/2019,421
57.145859,-2.101296,21/07/2019,581
57.145859,-2.101296,21/07/2019,491
57.145859,-2.101296,21/07/2019,439
57.145859,-2.101296,21/07/2019,369
57.145859,-2.101296,21/07/2019,423
57.145859,-2.101296,21/07/2019,441
57.145859,-2.101296,21/07/2019,535
57.145859,-2.101296,21/07/2019,441
57.145859,-2.101296,21/07/2019,399
57.145859,-2.101296,21/07/2019,389
57.145859,-2.101296,21/07/2019,343
57.145859,-2.101296,21/07/2019,398
57.145859,-2.101296,21/07/2019,298
57.145859,-2.101296,21/07/2019,406
57.145859,-2.101296,21/07/2019,345
57.145859,-2.101296,21/07/2019,379
57.145859,-2.101296,21/07/2019,333
57.145859,-2.101296,21/07/2019,248
57.145859,-2.101296,21/07/2019,252
57.145859,-2.101296,21/07/2019,243
57.145859,-2.101296,21/07/2019,192
57.145859,-2.101296,21/07/2019,256
57.145859,-2.101296,21/07/2019,249
57.145859,-2.101296,21/07/2019,263
57.145859,-2.101296,21/07/2019,218
57.145859,-2.101296,21/07/2019,186
57.145859,-2.101296,21/07/2019,186
57.145859,-2.101296,21/07/2019,154
57.145859,-2.101296,21/07/2019,183
57.145859,-2.101296,21/07/2019,188
57.145859,-2.101296,21/07/2019,186
57.145859,-2.101296,21/07/2019,123
57.145859,-2.101296,21/07/2019,91
57.145859,-2.101296,22/07/2019,109
57.145859,-2.101296,22/07/2019,66
57.145859,-2.101296,22/07/2019,64
57.145859,-2.101296,22/07/2019,78
57.145859,-2.101296,22/07/2019,31
57.145859,-2.101296,22/07/2019,49
57.145859,-2.101296,22/07/2019,64
57.145859,-2.101296,22/07/2019,33
57.145859,-2.101296,22/07/2019,35
57.145859,-2.101296,22/07/2019,73
57.145859,-2.101296,22/07/2019,23
57.145859,-2.101296,22/07/2019,70
57.145859,-2.101296,22/07/2019,44
57.145859,-2.101296,22/07/2019,21
57.145859,-2.101296,22/07/2019,41
57.145859,-2.101296,22/07/2019,103
57.145859,-2.101296,22/07/2019,39
57.145859,-2.101296,22/07/2019,35
57.145859,-2.101296,22/07/2019,36
57.145859,-2.101296,22/07/2019,82
57.145859,-2.101296,22/07/2019,58
57.145859,-2.101296,22/07/2019,111
57.145859,-2.101296,22/07/2019,193
57.145859,-2.101296,22/07/2019,149
57.145859,-2.101296,22/07/2019,225
57.145859,-2.101296,22/07/2019,284
57.145859,-2.101296,22/07/2019,299
57.145859,-2.101296,22/07/2019,335
57.145859,-2.101296,22/07/2019,296
57.145859,-2.101296,22/07/2019,490
57.145859,-2.101296,22/07/2019,460
57.145859,-2.101296,22/07/2019,510
57.145859,-2.101296,22/07/2019,590
57.145859,-2.101296,22/07/2019,562
57.145859,-2.101296,22/07/2019,610
57.145859,-2.101296,22/07/2019,410
57.145859,-2.101296,22/07/2019,432
57.145859,-2.101296,22/07/2019,439
57.145859,-2.101296,22/07/2019,519
57.145859,-2.101296,22/07/2019,426
57.145859,-2.101296,22/07/2019,509
57.145859,-2.101296,22/07/2019,441
57.145859,-2.101296,22/07/2019,483
57.145859,-2.101296,22/07/2019,630
57.145859,-2.101296,22/07/2019,538
57.145859,-2.101296,22/07/2019,490
57.145859,-2.101296,22/07/2019,431
57.145859,-2.101296,22/07/2019,538
57.145859,-2.101296,22/07/2019,652
57.145859,-2.101296,22/07/2019,493
57.145859,-2.101296,22/07/2019,591
57.145859,-2.101296,22/07/2019,585
57.145859,-2.101296,22/07/2019,600
57.145859,-2.101296,22/07/2019,560
57.145859,-2.101296,22/07/2019,509
57.145859,-2.101296,22/07/2019,603
57.145859,-2.101296,22/07/2019,632
57.145859,-2.101296,22/07/2019,457
57.145859,-2.101296,22/07/2019,534
57.145859,-2.101296,22/07/2019,580
57.145859,-2.101296,22/07/2019,579
57.145859,-2.101296,22/07/2019,540
57.145859,-2.101296,22/07/2019,540
57.145859,-2.101296,22/07/2019,457
57.145859,-2.101296,22/07/2019,809
57.145859,-2.101296,22/07/2019,736
57.145859,-2.101296,22/07/2019,841
57.145859,-2.101296,22/07/2019,760
57.145859,-2.101296,22/07/2019,751
57.145859,-2.101296,22/07/2019,588
57.145859,-2.101296,22/07/2019,543
57.145859,-2.101296,22/07/2019,586
57.145859,-2.101296,22/07/2019,486
57.145859,-2.101296,22/07/2019,513
57.145859,-2.101296,22/07/2019,410
57.145859,-2.101296,22/07/2019,510
57.145859,-2.101296,22/07/2019,416
57.145859,-2.101296,22/07/2019,433
57.145859,-2.101296,22/07/2019,343
57.145859,-2.101296,22/07/2019,308
57.145859,-2.101296,22/07/2019,344
57.145859,-2.101296,22/07/2019,300
57.145859,-2.101296,22/07/2019,194
57.145859,-2.101296,22/07/2019,319
57.145859,-2.101296,22/07/2019,340
57.145859,-2.101296,22/07/2019,290
57.145859,-2.101296,22/07/2019,188
57.145859,-2.101296,22/07/2019,320
57.145859,-2.101296,22/07/2019,275
57.145859,-2.101296,22/07/2019,271
57.145859,-2.101296,22/07/2019,194
57.145859,-2.101296,22/07/2019,173
57.145859,-2.101296,22/07/2019,170
57.145859,-2.101296,22/07/2019,187
57.145859,-2.101296,22/07/2019,141
57.145859,-2.101296,22/07/2019,61
57.145859,-2.101296,23/07/2019,98
57.145859,-2.101296,23/07/2019,79
57.145859,-2.101296,23/07/2019,110
57.145859,-2.101296,23/07/2019,72
57.145859,-2.101296,23/07/2019,55
57.145859,-2.101296,23/07/2019,55
57.145859,-2.101296,23/07/2019,73
57.145859,-2.101296,23/07/2019,52
57.145859,-2.101296,23/07/2019,47
57.145859,-2.101296,23/07/2019,64
57.145859,-2.101296,23/07/2019,33
57.145859,-2.101296,23/07/2019,44
57.145859,-2.101296,23/07/2019,48
57.145859,-2.101296,23/07/2019,24
57.145859,-2.101296,23/07/2019,4
57.145859,-2.101296,23/07/2019,73
57.145859,-2.101296,23/07/2019,24
57.145859,-2.101296,23/07/2019,55
57.145859,-2.101296,23/07/2019,68
57.145859,-2.101296,23/07/2019,107
57.145859,-2.101296,23/07/2019,50
57.145859,-2.101296,23/07/2019,126
57.145859,-2.101296,23/07/2019,239
57.145859,-2.101296,23/07/2019,187
57.145859,-2.101296,23/07/2019,221
57.145859,-2.101296,23/07/2019,229
57.145859,-2.101296,23/07/2019,348
57.145859,-2.101296,23/07/2019,320
57.145859,-2.101296,23/07/2019,360
57.145859,-2.101296,23/07/2019,474
57.145859,-2.101296,23/07/2019,539
57.145859,-2.101296,23/07/2019,636
57.145859,-2.101296,23/07/2019,707
57.145859,-2.101296,23/07/2019,676
57.145859,-2.101296,23/07/2019,737
57.145859,-2.101296,23/07/2019,667
57.145859,-2.101296,23/07/2019,647
57.145859,-2.101296,23/07/2019,442
57.145859,-2.101296,23/07/2019,550
57.145859,-2.101296,23/07/2019,561
57.145859,-2.101296,23/07/2019,743
57.145859,-2.101296,23/07/2019,464
57.145859,-2.101296,23/07/2019,478
57.145859,-2.101296,23/07/2019,747
57.145859,-2.101296,23/07/2019,730
57.145859,-2.101296,23/07/2019,517
57.145859,-2.101296,23/07/2019,514
57.145859,-2.101296,23/07/2019,564
57.145859,-2.101296,23/07/2019,427
57.145859,-2.101296,23/07/2019,703
57.145859,-2.101296,23/07/2019,735
57.145859,-2.101296,23/07/2019,770
57.145859,-2.101296,23/07/2019,595
57.145859,-2.101296,23/07/2019,529
57.145859,-2.101296,23/07/2019,578
57.145859,-2.101296,23/07/2019,536
57.145859,-2.101296,23/07/2019,690
57.145859,-2.101296,23/07/2019,746
57.145859,-2.101296,23/07/2019,547
57.145859,-2.101296,23/07/2019,672
57.145859,-2.101296,23/07/2019,581
57.145859,-2.101296,23/07/2019,715
57.145859,-2.101296,23/07/2019,641
57.145859,-2.101296,23/07/2019,724
57.145859,-2.101296,23/07/2019,790
57.145859,-2.101296,23/07/2019,788
57.145859,-2.101296,23/07/2019,761
57.145859,-2.101296,23/07/2019,785
57.145859,-2.101296,23/07/2019,817
57.145859,-2.101296,23/07/2019,798
57.145859,-2.101296,23/07/2019,706
57.145859,-2.101296,23/07/2019,777
57.145859,-2.101296,23/07/2019,689
57.145859,-2.101296,23/07/2019,610
57.145859,-2.101296,23/07/2019,424
57.145859,-2.101296,23/07/2019,445
57.145859,-2.101296,23/07/2019,486
57.145859,-2.101296,23/07/2019,442
57.145859,-2.101296,23/07/2019,375
57.145859,-2.101296,23/07/2019,346
57.145859,-2.101296,23/07/2019,407
57.145859,-2.101296,23/07/2019,481
57.145859,-2.101296,23/07/2019,402
57.145859,-2.101296,23/07/2019,343
57.145859,-2.101296,23/07/2019,426
57.145859,-2.101296,23/07/2019,395
57.145859,-2.101296,23/07/2019,308
57.145859,-2.101296,23/07/2019,435
57.145859,-2.101296,23/07/2019,330
57.145859,-2.101296,23/07/2019,193
57.145859,-2.101296,23/07/2019,192
57.145859,-2.101296,23/07/2019,198
57.145859,-2.101296,23/07/2019,154
57.145859,-2.101296,23/07/2019,213
57.145859,-2.101296,23/07/2019,181
57.145859,-2.101296,23/07/2019,165
57.145859,-2.101296,24/07/2019,111
57.145859,-2.101296,24/07/2019,140
57.145859,-2.101296,24/07/2019,49
57.145859,-2.101296,24/07/2019,120
57.145859,-2.101296,24/07/2019,17
57.145859,-2.101296,24/07/2019,78
57.145859,-2.101296,24/07/2019,73
57.145859,-2.101296,24/07/2019,44
57.145859,-2.101296,24/07/2019,65
57.145859,-2.101296,24/07/2019,39
57.145859,-2.101296,24/07/2019,57
57.145859,-2.101296,24/07/2019,79
57.145859,-2.101296,24/07/2019,83
57.145859,-2.101296,24/07/2019,55
57.145859,-2.101296,24/07/2019,82
57.145859,-2.101296,24/07/2019,62
57.145859,-2.101296,24/07/2019,63
57.145859,-2.101296,24/07/2019,88
57.145859,-2.101296,24/07/2019,74
57.145859,-2.101296,24/07/2019,100
57.145859,-2.101296,24/07/2019,60
57.145859,-2.101296,24/07/2019,153
57.145859,-2.101296,24/07/2019,149
57.145859,-2.101296,24/07/2019,217
57.145859,-2.101296,24/07/2019,134
57.145859,-2.101296,24/07/2019,327
57.145859,-2.101296,24/07/2019,345
57.145859,-2.101296,24/07/2019,321
57.145859,-2.101296,24/07/2019,399
57.145859,-2.101296,24/07/2019,463
57.145859,-2.101296,24/07/2019,529
57.145859,-2.101296,24/07/2019,658
57.145859,-2.101296,24/07/2019,632
57.145859,-2.101296,24/07/2019,706
57.145859,-2.101296,24/07/2019,731
57.145859,-2.101296,24/07/2019,699
57.145859,-2.101296,24/07/2019,513
57.145859,-2.101296,24/07/2019,561
57.145859,-2.101296,24/07/2019,464
57.145859,-2.101296,24/07/2019,570
57.145859,-2.101296,24/07/2019,505
57.145859,-2.101296,24/07/2019,469
57.145859,-2.101296,24/07/2019,514
57.145859,-2.101296,24/07/2019,649
57.145859,-2.101296,24/07/2019,680
57.145859,-2.101296,24/07/2019,461
57.145859,-2.101296,24/07/2019,458
57.145859,-2.101296,24/07/2019,507
57.145859,-2.101296,24/07/2019,615
57.145859,-2.101296,24/07/2019,453
57.145859,-2.101296,24/07/2019,598
57.145859,-2.101296,24/07/2019,527
57.145859,-2.101296,24/07/2019,711
57.145859,-2.101296,24/07/2019,563
57.145859,-2.101296,24/07/2019,603
57.145859,-2.101296,24/07/2019,539
57.145859,-2.101296,24/07/2019,528
57.145859,-2.101296,24/07/2019,722
57.145859,-2.101296,24/07/2019,813
57.145859,-2.101296,24/07/2019,674
57.145859,-2.101296,24/07/2019,746
57.145859,-2.101296,24/07/2019,738
57.145859,-2.101296,24/07/2019,726
57.145859,-2.101296,24/07/2019,725
57.145859,-2.101296,24/07/2019,657
57.145859,-2.101296,24/07/2019,807
57.145859,-2.101296,24/07/2019,755
57.145859,-2.101296,24/07/2019,846
57.145859,-2.101296,24/07/2019,741
57.145859,-2.101296,24/07/2019,744
57.145859,-2.101296,24/07/2019,733
57.145859,-2.101296,24/07/2019,666
57.145859,-2.101296,24/07/2019,678
57.145859,-2.101296,24/07/2019,662
57.145859,-2.101296,24/07/2019,483
57.145859,-2.101296,24/07/2019,480
57.145859,-2.101296,24/07/2019,358
57.145859,-2.101296,24/07/2019,460
57.145859,-2.101296,24/07/2019,426
57.145859,-2.101296,24/07/2019,430
57.145859,-2.101296,24/07/2019,349
57.145859,-2.101296,24/07/2019,396
57.145859,-2.101296,24/07/2019,369
57.145859,-2.101296,24/07/2019,408
57.145859,-2.101296,24/07/2019,322
57.145859,-2.101296,24/07/2019,296
57.145859,-2.101296,24/07/2019,365
57.145859,-2.101296,24/07/2019,281
57.145859,-2.101296,24/07/2019,305
57.145859,-2.101296,24/07/2019,239
57.145859,-2.101296,24/07/2019,245
57.145859,-2.101296,24/07/2019,198
57.145859,-2.101296,24/07/2019,288
57.145859,-2.101296,24/07/2019,180
57.145859,-2.101296,24/07/2019,177
57.145859,-2.101296,24/07/2019,164
57.145859,-2.101296,25/07/2019,158
57.145859,-2.101296,25/07/2019,79
57.145859,-2.101296,25/07/2019,151
57.145859,-2.101296,25/07/2019,99
57.145859,-2.101296,25/07/2019,23
57.145859,-2.101296,25/07/2019,56
57.145859,-2.101296,25/07/2019,49
57.145859,-2.101296,25/07/2019,45
57.145859,-2.101296,25/07/2019,54
57.145859,-2.101296,25/07/2019,54
57.145859,-2.101296,25/07/2019,24
