Site,Day,Date,StartTime,EndTime,Amount
57.145859,-2.101296,15/07/2019,15:30,15:45,599
57.145859,-2.101296,15/07/2019,15:45,16:00,514
57.145859,-2.101296,15/07/2019,16:00,16:15,438
57.145859,-2.101296,15/07/2019,16:15,16:30,598
57.145859,-2.101296,15/07/2019,16:30,16:45,703
57.145859,-2.101296,15/07/2019,16:45,17:00,789
57.145859,-2.101296,15/07/2019,17:00,17:15,694
57.145859,-2.101296,15/07/2019,17:15,17:30,807
57.145859,-2.101296,15/07/2019,17:30,17:45,712
57.145859,-2.101296,15/07/2019,17:45,18:00,611
57.145859,-2.101296,15/07/2019,18:00,18:15,388
57.145859,-2.101296,15/07/2019,18:15,18:30,334
57.145859,-2.101296,15/07/2019,18:30,18:45,386
57.145859,-2.101296,15/07/2019,18:45,19:00,479
57.145859,-2.101296,15/07/2019,19:00,19:15,365
57.145859,-2.101296,15/07/2019,19:15,19:30,406
57.145859,-2.101296,15/07/2019,19:30,19:45,373
57.145859,-2.101296,15/07/2019,19:45,20:00,319
57.145859,-2.101296,15/07/2019,20:00,20:15,355
57.145859,-2.101296,15/07/2019,20:15,20:30,280
57.145859,-2.101296,15/07/2019,20:30,20:45,340
57.145859,-2.101296,15/07/2019,20:45,21:00,226
57.145859,-2.101296,15/07/2019,21:00,21:15,254
57.145859,-2.101296,15/07/2019,21:15,21:30,324
57.145859,-2.101296,15/07/2019,21:30,21:45,300
57.145859,-2.101296,15/07/2019,21:45,22:00,259
57.145859,-2.101296,15/07/2019,22:00,22:15,222
57.145859,-2.101296,15/07/2019,22:15,22:30,257
57.145859,-2.101296,15/07/2019,22:30,22:45,190
57.145859,-2.101296,15/07/2019,22:45,23:00,183
57.145859,-2.101296,15/07/2019,23:00,23:15,218
57.145859,-2.101296,15/07/2019,23:15,23:30,169
57.145859,-2.101296,15/07/2019,23:30,23:45,146
57.145859,-2.101296,15/07/2019,23:45,24:00:00,132
57.145859,-2.101296,16/07/2019,00:00,00:15,165
57.145859,-2.101296,16/07/2019,00:15,00:30,98
57.145859,-2.101296,16/07/2019,00:30,00:45,61
57.145859,-2.101296,16/07/2019,00:45,01:00,68
57.145859,-2.101296,16/07/2019,01:00,01:15,63
57.145859,-2.101296,16/07/2019,01:15,01:30,67
57.145859,-2.101296,16/07/2019,01:30,01:45,61
57.145859,-2.101296,16/07/2019,01:45,02:00,44
57.145859,-2.101296,16/07/2019,02:00,02:15,35
57.145859,-2.101296,16/07/2019,02:15,02:30,30
57.145859,-2.101296,16/07/2019,02:30,02:45,76
57.145859,-2.101296,16/07/2019,02:45,03:00,29
57.145859,-2.101296,16/07/2019,03:00,03:15,57
57.145859,-2.101296,16/07/2019,03:15,03:30,13
57.145859,-2.101296,16/07/2019,03:30,03:45,68
57.145859,-2.101296,16/07/2019,03:45,04:00,42
57.145859,-2.101296,16/07/2019,04:00,04:15,51
57.145859,-2.101296,16/07/2019,04:15,04:30,40
57.145859,-2.101296,16/07/2019,04:30,04:45,53
57.145859,-2.101296,16/07/2019,04:45,05:00,82
57.145859,-2.101296,16/07/2019,05:00,05:15,50
57.145859,-2.101296,16/07/2019,05:15,05:30,126
57.145859,-2.101296,16/07/2019,05:30,05:45,133
57.145859,-2.101296,16/07/2019,05:45,06:00,141
57.145859,-2.101296,16/07/2019,06:00,06:15,126
57.145859,-2.101296,16/07/2019,06:15,06:30,227
57.145859,-2.101296,16/07/2019,06:30,06:45,248
57.145859,-2.101296,16/07/2019,06:45,07:00,371
57.145859,-2.101296,16/07/2019,07:00,07:15,372
57.145859,-2.101296,16/07/2019,07:15,07:30,359
57.145859,-2.101296,16/07/2019,07:30,07:45,446
57.145859,-2.101296,16/07/2019,07:45,08:00,514
57.145859,-2.101296,16/07/2019,08:00,08:15,461
57.145859,-2.101296,16/07/2019,08:15,08:30,572
57.145859,-2.101296,16/07/2019,08:30,08:45,485
57.145859,-2.101296,16/07/2019,08:45,09:00,358
57.145859,-2.101296,16/07/2019,09:00,09:15,461
57.145859,-2.101296,16/07/2019,09:15,09:30,445
57.145859,-2.101296,16/07/2019,09:30,09:45,480
57.145859,-2.101296,16/07/2019,09:45,10:00,379
57.145859,-2.101296,16/07/2019,10:00,10:15,384
57.145859,-2.101296,16/07/2019,10:15,10:30,396
57.145859,-2.101296,16/07/2019,10:30,10:45,529
57.145859,-2.101296,16/07/2019,10:45,11:00,429
57.145859,-2.101296,16/07/2019,11:00,11:15,390
57.145859,-2.101296,16/07/2019,11:15,11:30,445
57.145859,-2.101296,16/07/2019,11:30,11:45,505
57.145859,-2.101296,16/07/2019,11:45,12:00,479
57.145859,-2.101296,16/07/2019,12:00,12:15,452
57.145859,-2.101296,16/07/2019,12:15,12:30,506
57.145859,-2.101296,16/07/2019,12:30,12:45,479
57.145859,-2.101296,16/07/2019,12:45,13:00,459
57.145859,-2.101296,16/07/2019,13:00,13:15,527
57.145859,-2.101296,16/07/2019,13:15,13:30,468
57.145859,-2.101296,16/07/2019,13:30,13:45,427
57.145859,-2.101296,16/07/2019,13:45,14:00,458
57.145859,-2.101296,16/07/2019,14:00,14:15,459
57.145859,-2.101296,16/07/2019,14:15,14:30,516
57.145859,-2.101296,16/07/2019,14:30,14:45,615
57.145859,-2.101296,16/07/2019,14:45,15:00,561
57.145859,-2.101296,16/07/2019,15:00,15:15,617
57.145859,-2.101296,16/07/2019,15:15,15:30,722
57.145859,-2.101296,16/07/2019,15:30,15:45,491
57.145859,-2.101296,16/07/2019,15:45,16:00,428
57.145859,-2.101296,16/07/2019,16:00,16:15,564
57.145859,-2.101296,16/07/2019,16:15,16:30,698
57.145859,-2.101296,16/07/2019,16:30,16:45,679
57.145859,-2.101296,16/07/2019,16:45,17:00,605
57.145859,-2.101296,16/07/2019,17:00,17:15,681
57.145859,-2.101296,16/07/2019,17:15,17:30,783
57.145859,-2.101296,16/07/2019,17:30,17:45,444
57.145859,-2.101296,16/07/2019,17:45,18:00,562
57.145859,-2.101296,16/07/2019,18:00,18:15,507
57.145859,-2.101296,16/07/2019,18:15,18:30,380
57.145859,-2.101296,16/07/2019,18:30,18:45,422
57.145859,-2.101296,16/07/2019,18:45,19:00,499
57.145859,-2.101296,16/07/2019,19:00,19:15,402
57.145859,-2.101296,16/07/2019,19:15,19:30,431
57.145859,-2.101296,16/07/2019,19:30,19:45,463
57.145859,-2.101296,16/07/2019,19:45,20:00,375
57.145859,-2.101296,16/07/2019,20:00,20:15,367
57.145859,-2.101296,16/07/2019,20:15,20:30,449
57.145859,-2.101296,16/07/2019,20:30,20:45,235
57.145859,-2.101296,16/07/2019,20:45,21:00,317
57.145859,-2.101296,16/07/2019,21:00,21:15,266
57.145859,-2.101296,16/07/2019,21:15,21:30,291
57.145859,-2.101296,16/07/2019,21:30,21:45,310
57.145859,-2.101296,16/07/2019,21:45,22:00,229
57.145859,-2.101296,16/07/2019,22:00,22:15,291
57.145859,-2.101296,16/07/2019,22:15,22:30,286
57.145859,-2.101296,16/07/2019,22:30,22:45,351
57.145859,-2.101296,16/07/2019,22:45,23:00,413
57.145859,-2.101296,16/07/2019,23:00,23:15,553
57.145859,-2.101296,16/07/2019,23:15,23:30,423
57.145859,-2.101296,16/07/2019,23:30,23:45,324
57.145859,-2.101296,16/07/2019,23:45,24:00:00,316
57.145859,-2.101296,17/07/2019,00:00,00:15,239
57.145859,-2.101296,17/07/2019,00:15,00:30,150
57.145859,-2.101296,17/07/2019,00:30,00:45,130
57.145859,-2.101296,17/07/2019,00:45,01:00,87
57.145859,-2.101296,17/07/2019,01:00,01:15,138
57.145859,-2.101296,17/07/2019,01:15,01:30,48
57.145859,-2.101296,17/07/2019,01:30,01:45,64
57.145859,-2.101296,17/07/2019,01:45,02:00,36
57.145859,-2.101296,17/07/2019,02:00,02:15,30
57.145859,-2.101296,17/07/2019,02:15,02:30,70
57.145859,-2.101296,17/07/2019,02:30,02:45,55
57.145859,-2.101296,17/07/2019,02:45,03:00,31
57.145859,-2.101296,17/07/2019,03:00,03:15,37
57.145859,-2.101296,17/07/2019,03:15,03:30,60
57.145859,-2.101296,17/07/2019,03:30,03:45,16
57.145859,-2.101296,17/07/2019,03:45,04:00,70
57.145859,-2.101296,17/07/2019,04:00,04:15,75
