Site,Day,Date,StartTime,EndTime,Flow
N01171A,SU,02-08-2020,01:00,01:15,120
N01171A,SU,02-08-2020,01:15,01:30,113
N01171A,SU,02-08-2020,01:30,01:45,97
N01171A,SU,02-08-2020,01:45,02:00,96
N01171A,SU,02-08-2020,02:00,02:15,62
N01171A,SU,02-08-2020,02:15,02:30,33
N01171A,SU,02-08-2020,02:30,02:45,50
N01171A,SU,02-08-2020,02:45,03:00,41
N01171A,SU,02-08-2020,03:00,03:15,76
N01171A,SU,02-08-2020,03:15,03:30,46
N01171A,SU,02-08-2020,03:30,03:45,3
N01171A,SU,02-08-2020,03:45,04:00,41
N01171A,SU,02-08-2020,04:00,04:15,29
N01171A,SU,02-08-2020,04:15,04:30,36
N01171A,SU,02-08-2020,04:30,04:45,30
N01171A,SU,02-08-2020,04:45,05:00,44
N01171A,SU,02-08-2020,05:00,05:15,11
N01171A,SU,02-08-2020,05:15,05:30,12
N01171A,SU,02-08-2020,05:30,05:45,3
N01171A,SU,02-08-2020,05:45,06:00,34
N01171A,SU,02-08-2020,06:00,06:15,10
N01171A,SU,02-08-2020,06:15,06:30,5
N01171A,SU,02-08-2020,06:30,06:45,26
N01171A,SU,02-08-2020,06:45,07:00,45
N01171A,SU,02-08-2020,07:00,07:15,64
N01171A,SU,02-08-2020,07:15,07:30,57
N01171A,SU,02-08-2020,07:30,07:45,24
N01171A,SU,02-08-2020,07:45,08:00,27
N01171A,SU,02-08-2020,08:00,08:15,44
N01171A,SU,02-08-2020,08:15,08:30,13
N01171A,SU,02-08-2020,08:30,08:45,48
N01171A,SU,02-08-2020,08:45,09:00,68
N01171A,SU,02-08-2020,09:00,09:15,44
N01171A,SU,02-08-2020,09:15,09:30,72
N01171A,SU,02-08-2020,09:30,09:45,68
N01171A,SU,02-08-2020,09:45,10:00,72
N01171A,SU,02-08-2020,10:00,10:15,57
N01171A,SU,02-08-2020,10:15,10:30,90
N01171A,SU,02-08-2020,10:30,10:45,119
N01171A,SU,02-08-2020,10:45,11:00,81
N01171A,SU,02-08-2020,11:00,11:15,112
N01171A,SU,02-08-2020,11:15,11:30,106
N01171A,SU,02-08-2020,11:30,11:45,113
N01171A,SU,02-08-2020,11:45,12:00,142
N01171A,SU,02-08-2020,12:00,12:15,169
N01171A,SU,02-08-2020,12:15,12:30,172
N01171A,SU,02-08-2020,12:30,12:45,134
